THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | sport2 | S7 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.30 | 31.2 (2.3) [yes] | 15.9 | 0.0 | 3/4 (0.0) | 36.6 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S7 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 6.19 | 32.4 (10.3) [yes] | 30.8 | 2.0 | 19/39 (0.0) | 32.5 | 0.087 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S7 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 4.88 | 33.9 (11.9) [yes] | 23.7 | 1.6 | 24/50 (0.0) | 32.1 | 0.977 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S7 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/4 (0.0) | 36.1 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S7 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 7.42 | 34.7 (15.6) [yes] | 36.8 | 2.3 | 22/41 (0.0) | 32.0 | 0.195 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2w2 | W1 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.24 | 31.5 (3.0) [yes] | 15.5 | 0.0 | 2/3 (0.0) | 32.0 | 0.000 | 2.2 | - | - | 0/0 | -/0.0 | - | - | - / 2.2 | -
full | sport2w2 | W1 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.82 | 46.2 (18.6) [no] | 3.5 | 0.4 | 14/42 (0.0) | 25.1 | 0.000 | 0.8 | - | - | 0/0 | -/0.0 | - | - | - / 0.8 | -
full | sport2w2 | W1 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport2w2 | W1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 16/67 (0.0) | 28.0 | 0.000 | 14.6 | - | - | 7/14 | -/14.6 | - | - | - / 14.6 | -
full | sport2w2 | W1 |  | strat_t6 | strat512 | 6 | 4 | rg | None | 512 | 1.56 | 31.4 (3.8) [yes] | 10.5 | 0.0 | 2/4 (0.0) | 31.8 | 0.000 | 1.8 | - | - | 0/4 | -/0.2 | - | - | - / 1.8 | -
full | sport2w2 | W1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.59 | - (-) [no] | 3.9 | 0.0 | 14/42 (0.0) | 25.0 | 0.000 | 14.3 | - | - | 7/14 | -/13.8 | - | - | - / 14.3 | -
