grid,cell,record_set,cold64,g50,g50_in_range,yield_,cls,fe_med,fe_p90,dyn_solved,commit1_s,commit1_u,cw1_u,cw64_u,cells_u1,ent1_s,mono,flips_w,syn_osc,dyn_fe_med,dyn_fe_p90,e3_committed,e3_wrong,e3_contra,cal_cold,cal_stalled,cal_top5,cal_conf,cal_ent1,cal_cw
champ/C3@18k-vsel,dec,full:full_vsel_t64 n100000,0.98006,-3.8151909018400794,False,0.9768112894558538,DECIMATING,1.0,6.0,0.984375,0.9550922845913536,0.9373040752351097,0.6184952978056426,0.585423197492163,0.34608150470219434,0.015616927003053857,0.6507936507936508,4.286990595611285,13.5,1.0,7.0,0.8946708463949843,0.6531372549019607,1.0,0.990234375,5,0.68,1.0,0.01378942251344153,0.4323582187496795
champ/C3@50k-final,dec,full:full_vsel_t64 n100000,0.98006,-3.8151909018400794,False,0.9768112894558538,DECIMATING,1.0,6.0,0.90625,0.9641204910295972,0.9602305648497343,0.592700146428537,0.5741202158208475,0.38062341105101055,0.012164807459685064,0.7068965517241379,6.746055683329399,26.583333333333332,1.0,7.0,0.9255146919564209,0.6198525828113324,1.0,0.990234375,5,0.68,1.0,0.01378942251344153,0.4323582187496795
champ/C4@20k-vsel,dec,full:full_vsel_t64 n100000,0.98897,-101.94241194386294,False,0.9871147870376861,DECIMATING,1.0,5.0,0.96875,0.951524574311739,0.9734120099279501,0.517176207969962,0.4860459397707283,0.46485649161316045,0.01704181031899991,0.6693548387096774,3.724738712214314,14.25,1.0,4.700000000000003,0.9147501363669224,0.5325490196078432,1.0,0.994140625,3,0.5333333333333333,1.0,0.01632248919925948,0.46231909740681676
champ/C5@20k-excursion,dec,full:full_vsel_t64 n100000,0.99104,-20.327320819986817,False,0.9897665942384524,DECIMATING,2.0,8.0,0.296875,0.8481974016948175,0.8128398624099783,0.4502729172112835,0.45318615187024736,0.43250342347246284,0.06141506929990082,0.3684210526315789,2.0321273570370573,12.5,6.0,43.60000000000001,0.8825711830899365,0.5167634758441105,0.9666666666666667,0.9921875,4,0.5,1.0,0.025745196391589734,0.4633528265107212
champ/C5@46k-vsel,dec,full:full_vsel_t64 n100000,0.99104,-20.327320819986817,False,0.9897665942384524,DECIMATING,2.0,8.0,0.9921875,0.9258841329832,0.9629629629629629,0.6296296296296297,0.5,0.3333333333333333,0.02699445453594317,0.4566929133858268,7.018518518518518,30.0,2.0,7.0,0.9444444444444444,0.5294117647058824,1.0,0.9921875,4,0.5,1.0,0.025745196391589734,0.4633528265107212
champ/C5@50k-final,dec,full:full_vsel_t64 n100000,0.99104,-20.327320819986817,False,0.9897665942384524,DECIMATING,2.0,8.0,0.984375,0.9148202321133032,0.9204980842911877,0.5628991060025543,0.4351851851851852,0.37547892720306514,0.031303409063580326,0.5873015873015873,6.26213282247765,26.5,1.0,7.0,0.8218390804597702,0.5307328605200945,1.0,0.9921875,4,0.5,1.0,0.025745196391589734,0.4633528265107212
champ/C6@28k-vsel,dec,full:full_vsel_t64 n100000,0.98497,-12.066125722858217,False,0.9825004088689516,DECIMATING,1.0,6.0,0.9765625,0.9549512981411615,0.929757343550447,0.6179225202213708,0.5402298850574713,0.329076202639421,0.01563429424254222,0.632,5.908045977011494,25.666666666666668,1.0,5.0,0.888250319284802,0.605741370622323,1.0,0.998046875,1,1.0,1.0,0.014578654882554332,0.25925925925925924
field/HRM-pub@Mac-torch,hrm,field:cold SCAN20k D64 (torch fp32); dyn STRAT256 t64; calib E6 (labeled protocol),0.5987,24.03530426200092,True,0.5393521225587651,MIXED,3.0,17.400000000000006,0.61328125,0.8923643509146636,0.8667394889704034,0.45895337064726527,0.4867090007487181,0.45178231331144375,0.03814322965450242,0.19745222929936307,3.676358969606473,19.050505050505052,3.0,17.400000000000006,0.9042805596630629,0.5394808580024062,1.0,,99,0.49292929292929294,1.0,0.04849874155296692,0.4867090007487181
field/TRM-pub(alphaXiv)@Mac-torch,trm,field:cold SCAN20k D64 (torch fp32); dyn STRAT256 t64; calib E6 (labeled protocol),0.83455,18.079741384238194,True,0.8066308034148053,MIXED,1.0,4.0,0.8046875,0.979810229554771,0.9642263408507986,0.5778367887201132,0.5373606241441763,0.39517617465639554,0.006941820148335866,0.7330097087378641,5.745554617716327,25.48,1.0,4.0,0.9309366560658355,0.5778484066428541,1.0,,50,0.504,1.0,0.01264263802929918,0.5373606241441763
field/TRM-CGAR@Mac-torch,trm,field:cold SCAN20k D64 (torch fp32); dyn STRAT256 t64; calib E6 (labeled protocol),0.91745,11.420553563608166,False,0.90363700152029,DECIMATING,1.0,13.099999999999994,0.8984375,0.958995566648362,0.9336686797439973,0.5156229835903157,0.48467965455261286,0.43733393883121646,0.01439585891950102,0.6260869565217392,3.5342486897387078,17.76923076923077,1.0,13.099999999999994,0.900996256214042,0.5384193518749484,1.0,,26,0.5307692307692308,1.0,0.025644753940877615,0.48467965455261286
field/EqR-pub(noise 0)@Mac-torch,trm,field:cold SCAN20k D64 (torch fp32); dyn STRAT256 t64; calib E6 (labeled protocol),0.93185,10.165238418378632,False,0.9207110279499474,DECIMATING,1.0,10.0,0.91015625,0.9451575391874287,0.9147383341062816,0.4926123878897492,0.5305842910928525,0.4489520002283357,0.019342046784838033,0.5450643776824035,3.5689196745517267,20.304347826086957,1.0,10.0,0.9238037916941887,0.5730888283300857,1.0,,23,0.5130434782608696,1.0,0.027628353903389514,0.5305842910928525
field/EqR-pub(noise .5)@Mac-torch,trm,field:cold SCAN20k D64 (torch fp32); dyn STRAT256 t64; calib E6 (labeled protocol),0.90225,14.582305424738612,False,0.886153666237867,DECIMATING,2.0,17.599999999999994,0.87890625,0.913018957795441,0.8814562100186478,0.4539694380950746,0.5110270564108161,0.4629842441577703,0.030874061161357526,0.4444444444444444,5.484806554650242,28.870967741935484,2.0,17.599999999999994,0.9224688402166301,0.5540723893945346,1.0,,31,0.45806451612903226,1.0,0.04107528459330151,0.5110270564108161
