THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260909; descriptive; 75 rows; 4s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | champ | C0 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 94.76 | 10.4 (21.9) [no] | 99.9 | 93.9 | 1/5 (36.7) | 32.6 | 0.014 | 94.8 | - | - | 0/0 | -/0.0 | - | - | - / 94.8 | -
screen | champ | C2 | vb |  | strat512 | 16 | 256 | dec | True | 512 | 94.14 | 13.2 (18.5) [no] | 100.0 | 93.1 | 1/5 (28.8) | 35.2 | 0.000 | 99.8 | 96.1 | 1.000 | 0/0 | 63.3/96.7 | 0.992 | 0.0 | 99.8 / 99.8 | 96.7
screen | champ | C3 | s010000 |  | strat512 | 16 | 256 | dec | True | 512 | 92.97 | 4.1 (35.7) [no] | 100.0 | 91.7 | 1/5 (21.2) | 33.8 | 0.000 | 99.8 | 93.2 | 1.000 | 0/0 | 38.9/97.2 | 0.991 | 0.0 | 99.8 / 99.8 | 94.7
screen | champ | C3 | s020000 |  | strat512 | 16 | 256 | dec | True | 512 | 96.29 | 13.5 (15.2) [no] | 100.0 | 95.6 | 1/6 (38.1) | 35.8 | 0.000 | 99.6 | 95.9 | 1.000 | 0/0 | 57.9/89.5 | 0.992 | 0.0 | 99.6 / 99.6 | 96.7
screen | champ | C3 | s030000 |  | strat512 | 16 | 256 | dec | True | 512 | 94.92 | 10.5 (21.6) [no] | 100.0 | 94.0 | 1/4 (44.0) | 31.7 | 0.000 | 99.6 | 93.6 | 1.000 | 0/0 | 19.2/92.3 | 0.993 | 0.0 | 99.6 / 99.6 | 94.7
screen | champ | C3 | s040000 |  | strat512 | 16 | 256 | dec | True | 512 | 93.75 | 13.2 (19.0) [no] | 100.0 | 92.7 | 1/4 (46.7) | 30.4 | 0.000 | 99.2 | 94.1 | 1.000 | 0/0 | 37.5/87.5 | 0.994 | 0.0 | 99.2 / 99.2 | 93.8
screen | champ | C3 | vb |  | strat512 | 16 | 256 | dec | True | 512 | 94.14 | 13.9 (17.3) [no] | 100.0 | 93.1 | 1/4 (32.4) | 35.6 | 0.000 | 99.8 | 93.9 | 1.000 | 0/0 | 46.7/96.7 | 0.992 | 0.0 | 99.8 / 99.8 | 96.7
screen | champ | C4 | s010000 |  | strat512 | 16 | 256 | dec | True | 512 | 95.12 | 1.9 (34.2) [no] | 100.0 | 94.3 | 1/5 (31.4) | 37.8 | 0.000 | 100.0 | 96.1 | 1.000 | 0/0 | 60.0/100.0 | 0.993 | 0.0 | 100.0 / 100.0 | 97.3
screen | champ | C4 | s020000 |  | strat512 | 16 | 256 | dec | True | 512 | 96.48 | 5.7 (25.5) [no] | 100.0 | 95.9 | 1/4 (32.2) | 36.9 | 0.000 | 99.8 | 96.9 | 1.000 | 0/0 | 55.6/94.4 | 0.995 | 0.0 | 99.6 / 99.8 | 98.0
screen | champ | C4 | vb |  | strat512 | 16 | 256 | dec | True | 512 | 96.48 | 5.7 (25.5) [no] | 100.0 | 95.9 | 1/4 (32.2) | 36.9 | 0.000 | 99.8 | 96.9 | 1.000 | 0/0 | 55.6/94.4 | 0.995 | 0.0 | 99.6 / 99.8 | 98.0
screen | champ | C5 | s010000 |  | strat512 | 16 | 256 | dec | True | 512 | 85.35 | 12.0 (32.5) [no] | 100.0 | 82.8 | 3/7 (4.1) | 30.0 | 0.000 | 99.8 | 84.0 | 1.000 | 0/2 | 26.7/98.7 | 0.982 | 0.0 | 99.8 / 99.8 | 85.5
screen | champ | C5 | s020000 |  | strat512 | 16 | 256 | dec | True | 512 | 16.99 | 30.8 (14.5) [yes] | 46.1 | 11.9 | 3/9 (6.0) | 14.3 | 0.195 | 99.8 | 92.8 | 1.000 | 1/1 | 92.2/99.8 | 0.985 | 0.1 | 99.6 / 99.8 | 95.1
screen | champ | C5 | vb |  | strat512 | 16 | 256 | dec | True | 512 | 96.88 | -3.0 (36.0) [no] | 100.0 | 96.3 | 2/6 (17.1) | 37.2 | 0.000 | 100.0 | 94.7 | 1.000 | 0/0 | 43.8/100.0 | 0.989 | 0.1 | 99.8 / 100.0 | 97.9
screen | champ | C6 | s010000 |  | strat512 | 16 | 256 | dec | True | 512 | 94.14 | 13.2 (18.5) [no] | 100.0 | 93.1 | 1/5 (13.5) | 34.2 | 0.000 | 99.8 | 94.7 | 1.000 | 0/0 | 53.3/96.7 | 0.989 | 0.0 | 99.8 / 99.8 | 95.7
screen | champ | C6 | s020000 |  | strat512 | 16 | 256 | dec | True | 512 | 95.51 | -56.6 (117.5) [no] | 100.0 | 94.7 | 1/5 (28.0) | 33.6 | 0.000 | 99.6 | 95.9 | 1.000 | 0/0 | 56.5/91.3 | 0.990 | 0.0 | 99.6 / 99.6 | 96.9
screen | champ | C6 | s030000 |  | strat512 | 16 | 256 | dec | True | 512 | 94.92 | 11.7 (19.9) [no] | 100.0 | 94.0 | 1/4 (28.8) | 33.7 | 0.000 | 100.0 | 96.3 | 1.000 | 0/0 | 73.1/100.0 | 0.992 | 0.0 | 99.8 / 100.0 | 96.9
screen | champ | C6 | s040000 |  | strat512 | 16 | 256 | dec | True | 512 | 93.95 | 13.5 (18.2) [no] | 100.0 | 92.9 | 1/4 (15.0) | 32.4 | 0.000 | 99.8 | 95.1 | 1.000 | 0/0 | 41.9/96.8 | 0.993 | 0.0 | 99.8 / 99.8 | 93.8
screen | champ | C6 | vb |  | strat512 | 16 | 256 | dec | True | 512 | 95.51 | 6.5 (26.6) [no] | 100.0 | 94.7 | 1/5 (34.4) | 34.3 | 0.000 | 99.8 | 96.3 | 1.000 | 0/0 | 56.5/95.7 | 0.991 | 0.0 | 99.6 / 99.8 | 97.1
