== EVAL ARTIFACTS on disk: 694 ==
kind | arm | sub | n | t | k | subset | cell | ema | init | recs | ckpt
full | psport2w2W2 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W2 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W2/ckpt_latest.pkl
full | psport2w2W3 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | full_t64 | 422786 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | ret_t8 | 512 | 8 | 0 | 512 | rg | - | solution | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W3 | val_t64 | 64 | 64 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W3/ckpt_latest.pkl
full | psport2w2W4 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W4/ckpt_latest.pkl
